ASes,Count
0.0,0.016149615100840096
1.0,6.455096153541675
2.0,13.858903029477798
3.0,13.004556724731394
4.0,11.270848044788266
5.0,9.365193462889135
6.0,7.554853275996922
7.0,6.252434316982113
8.0,5.285674024769076
9.0,4.419294673476949
10.0,3.7311944065333105
11.0,2.986095498057296
12.0,2.400276126752312
13.0,1.944603653612922
14.0,1.4965309993445155
15.0,1.1903216306678024
16.0,0.9217946972263827
17.0,0.7387657260835284
18.0,0.6171686241477912
19.0,0.4838551347859542
20.0,0.4151401058274778
21.0,0.3448417812708797
22.0,0.30874264163370774
23.0,0.3043094139589673
24.0,0.2587105007330659
25.0,0.2561772277760713
26.0,0.23021117996687745
27.0,0.22071140637814796
28.0,0.20994499631092123
29.0,0.16117949188877667
30.0,0.15452965037666602
31.0,0.15642960509441192
32.0,0.1462965132664338
33.0,0.15167971830004717
34.0,0.13996333087394752
35.0,0.14186328559169342
36.0,0.14471321766831224
37.0,0.15072974094117422
38.0,0.17226256107562768
39.0,0.1684626516401359
40.0,0.16877931075976021
41.0,0.19632865416707568
42.0,0.18556224409984895
43.0,0.19316206297083252
44.0,0.17194590195600337
45.0,0.15326301389816877
46.0,0.13584676231883142
47.0,0.11779719250024541
48.0,0.10259755475827827
49.0,0.09024784909292996
50.0,0.06586509688185764
51.0,0.050348800020266184
52.0,0.03609913963717198
53.0,0.027549343407315456
54.0,0.01646627422046441
55.0,0.017099592459713042
56.0,0.012666364784972626
57.0,0.006016523272861997
58.0,0.00506654591398905
59.0,0.0037999094354917873
60.0,0.002849932076618841
61.0,0.0009499773588729468
62.0,0.0009499773588729468
63.0,0.0012666364784972624
64.0,0.0009499773588729468
65.0,0.0009499773588729468
66.0,0.0006333182392486312
67.0,0.0006333182392486312
68.0,0.0003166591196243156
70.0,0.0009499773588729468
71.0,0.0003166591196243156
72.0,0.0006333182392486312
74.0,0.0006333182392486312
79.0,0.0003166591196243156
114.0,0.0003166591196243156
,0.0003166591196243156
